council,Year,Lone person households (no.),Group households (no.),Family households (no.),Total households (no.),Average household size (no. of persons),Couple families with children under 15 and/or dependent students (no.),Couple families with non-dependent children only (no.),Couple families without children (no.),One parent families with children under 15 and/or dependent students (no.),One parent families with non-dependent children only (no.),Other families (no.),Total families (no.),Average family size (no. of persons)
Alpine Shire Council,2021,"1,528",131,"3,567","5,222",2.3,"1,048",210,"1,894",268,155,38,"3,617",2.7
Ararat Rural City Council,2021,"1,473",127,"2,939","4,541",2.2,783,220,"1,434",296,184,54,"2,973",2.8
Ballarat City Council,2021,"13,525","1,742","29,393","44,654",2.4,"9,855","1,882","11,872","3,823","1,907",444,"29,786",2.9
Banyule City Council,2021,"11,903","1,484","34,279","47,666",2.5,"13,542","2,919","12,696","2,958","2,159",503,"34,785",3.0
Bass Coast Shire Council,2021,"5,347",411,"10,909","16,662",2.2,"2,867",696,"5,781",978,644,108,"11,074",2.7
Baw Baw Shire Council,2021,"5,467",427,"15,542","21,441",2.5,"5,180","1,233","6,896","1,557",800,184,"15,843",2.9
Bayside City Council,2021,"16,347","4,206","44,280","64,833",2.5,"16,004","3,942","17,955","3,652","3,180","1,227","45,959",2.9
Benalla Rural City Council,2021,"1,999",160,"3,873","6,033",2.2,898,294,"2,084",355,257,46,"3,939",2.7
Boroondara City Council,2021,"16,223","2,617","43,878","62,715",2.5,"18,794","3,285","16,248","3,798","1,740",748,"44,611",3.0
Brimbank City Council,2021,"13,077","2,348","48,529","63,949",2.9,"18,011","5,926","15,455","5,943","4,511","1,181","51,032",3.1
Buloke Shire Council,2021,884,65,"1,606","2,555",2.2,443,111,826,110,87,31,"1,613",2.8
Campaspe Shire Council,2021,"4,455",352,"10,273","15,079",2.4,"2,942",828,"4,892","1,050",618,131,"10,459",2.9
Cardinia Shire Council,2021,"7,656",886,"31,061","39,607",2.8,"13,673","2,398","10,614","3,335","1,666",386,"32,066",3.1
Casey City Council,2021,"17,639","2,776","92,945","113,365",3.1,"45,738","8,808","27,033","9,092","5,356","1,308","97,338",3.3
Central Goldfields Shire Council,2021,"2,136",155,"3,483","5,774",2.1,782,268,"1,734",404,282,60,"3,540",2.7
Colac Otway Shire Council,2021,"2,864",290,"5,690","8,848",2.3,"1,748",406,"2,692",505,332,94,"5,774",2.9
Corangamite Shire Council,2021,"1,930",164,"4,251","6,343",2.3,"1,241",330,"2,066",331,267,70,"4,309",2.9
Darebin City Council,2021,"18,201","4,215","37,065","59,488",2.4,"13,579","2,663","14,774","3,145","2,614",945,"37,717",2.9
East Gippsland Shire Council,2021,"6,212",496,"13,063","19,771",2.2,"3,190",922,"7,096","1,198",728,151,"13,282",2.7
Frankston City Council,2021,"14,700","1,582","36,737","53,019",2.5,"13,119","3,121","13,185","4,671","2,911",570,"37,590",3.0
Gannawarra Shire Council,2021,"1,447",100,"2,806","4,359",2.2,730,218,"1,477",222,152,42,"2,842",2.8
Glen Eira City Council,2021,"16,293","2,596","39,078","57,971",2.5,"16,510","2,555","14,727","3,287","1,851",658,"39,585",3.0
Glenelg Shire Council,2021,"2,588",205,"5,396","8,190",2.2,"1,420",430,"2,739",523,301,67,"5,483",2.7
Golden Plains Shire Council,2021,"1,369",117,"6,801","8,287",2.9,"2,887",650,"2,638",455,293,50,"6,984",3.1
Greater Bendigo City Council,2021,"13,374","1,555","31,673","46,599",2.4,"10,620","2,203","13,134","3,802","1,995",521,"32,281",2.9
Greater Dandenong City Council,2021,"11,502","2,542","37,633","51,670",2.9,"15,264","3,872","12,130","4,266","3,337","1,034","39,906",3.1
Greater Geelong City Council,2021,"28,649","3,926","70,933","103,508",2.4,"24,494","5,226","29,544","7,390","4,356","1,088","72,099",2.9
Greater Shepparton City Council,2021,"6,901",783,"17,106","24,795",2.5,"5,863","1,391","6,963","2,023","1,035",247,"17,523",3.0
Hepburn Shire Council,2021,"2,232",188,"4,425","6,846",2.2,"1,132",302,"2,412",355,255,51,"4,500",2.7
Hindmarsh Shire Council,2021,794,71,"1,499","2,367",2.2,399,128,777,109,77,28,"1,516",2.8
Hobsons Bay City Council,2021,"9,118","1,003","24,545","34,663",2.5,"9,665","1,959","8,937","2,286","1,674",455,"24,972",3.0
Horsham Rural City Council,2021,"2,597",226,"5,394","8,216",2.3,"1,773",366,"2,387",570,292,71,"5,463",2.9
Hume City Council,2021,"12,954","1,782","61,006","75,740",3.1,"28,665","6,466","16,782","6,296","4,463",970,"63,644",3.3
Indigo Shire Council,2021,"1,725",123,"4,774","6,615",2.4,"1,535",341,"2,355",351,220,49,"4,854",2.8
Kingston City Council,2021,"16,388","1,699","42,855","60,940",2.5,"16,891","3,756","15,677","3,833","2,885",629,"43,676",3.0
Knox City Council,2021,"12,185","1,397","43,837","57,422",2.7,"17,118","4,893","15,731","3,845","2,954",605,"45,145",3.0
Latrobe City Council,2021,"9,859",833,"19,915","30,610",2.3,"5,873","1,600","8,457","2,588","1,454",289,"20,265",2.9
Loddon Shire Council,2021,"1,022",80,"1,946","3,049",2.2,531,142,"1,023",130,119,27,"1,973",2.8
Macedon Ranges Shire Council,2021,"3,610",302,"14,147","18,060",2.7,"5,637","1,140","5,804","1,100",641,105,"14,419",3.0
Manningham City Council,2021,"9,008",888,"34,680","44,574",2.7,"13,655","3,829","13,088","2,758","1,961",471,"35,767",3.0
Mansfield Shire Council,2021,"1,129",76,"2,623","3,830",2.3,731,160,"1,437",174,137,21,"2,660",2.7
Maribyrnong City Council,2021,"9,996","2,490","21,213","33,695",2.4,"7,794","1,244","8,587","1,953","1,378",661,"21,616",2.9
Maroondah City Council,2021,"10,719","1,106","31,180","43,006",2.6,"12,433","2,724","11,356","2,929","1,991",407,"31,842",3.0
Melbourne City Council,2021,"30,524","9,725","30,511","70,760",1.8,"5,993",610,"19,259","2,118",950,"1,745","30,685",2.4
Melton City Council,2021,"9,052","1,102","44,745","54,907",3.1,"22,368","3,825","11,921","5,295","2,562",605,"46,567",3.3
Mildura Rural City Council,2021,"6,177",689,"14,414","21,283",2.4,"4,530","1,133","6,124","1,771",929,239,"14,729",2.9
Mitchell Shire Council,2021,"3,780",352,"13,008","17,140",2.7,"5,054","1,132","4,814","1,380",868,161,"13,404",3.1
Moira Shire Council,2021,"3,579",326,"8,013","11,917",2.3,"2,211",574,"4,049",781,474,76,"8,172",2.8
Monash City Council,2021,"14,109","3,868","48,995","66,979",2.7,"20,043","4,532","17,893","4,059","2,912","1,089","50,528",3.0
Moonee Valley City Council,2021,"13,958","1,920","31,933","47,814",2.4,"12,263","2,804","12,016","2,615","2,012",670,"32,394",3.0
Moorabool Shire Council,2021,"3,085",256,"10,160","13,500",2.6,"3,796",902,"3,999","1,020",576,124,"10,421",3.0
Merri-bek City Council (former Moreland City Council),2021,"20,051","5,474","42,343","67,871",2.4,"15,575","2,877","17,327","3,393","2,784","1,092","43,053",2.9
Mornington Peninsula Shire Council,2021,"17,727","1,190","45,733","64,650",2.4,"14,627","3,546","21,049","4,202","2,726",473,"46,625",2.9
Mount Alexander Shire Council,2021,"2,785",239,"5,369","8,396",2.2,"1,437",359,"2,725",551,308,63,"5,449",2.7
Moyne Shire Council,2021,"1,629",109,"4,704","6,439",2.5,"1,600",348,"2,189",349,228,58,"4,775",2.9
Murrindindi Shire Council,2021,"1,825",154,"4,029","6,006",2.3,"1,101",313,"2,131",293,247,31,"4,120",2.7
Nillumbik Shire Council,2021,"3,078",232,"17,601","20,912",2.9,"7,574","2,148","6,103","1,257",818,133,"18,028",3.1
Northern Grampians Shire Council,2021,"1,724",139,"3,038","4,903",2.2,784,259,"1,550",266,168,56,"3,084",2.7
Port Phillip City Council,2021,"21,347","3,263","24,123","48,731",1.9,"6,951",796,"12,949","2,041",966,545,"24,252",2.6
Pyrenees Shire Council,2021,938,64,"1,964","2,976",2.2,503,140,"1,050",155,140,20,"2,004",2.7
Queenscliffe Borough Council,2021,486,17,939,"1,441",2.0,188,63,608,42,38,9,944,2.5
South Gippsland Shire Council,2021,"3,585",240,"8,184","12,001",2.3,"2,392",635,"4,125",706,395,80,"8,329",2.8
Southern Grampians Shire Council,2021,"2,334",142,"4,365","6,844",2.2,"1,298",329,"2,103",387,233,62,"4,414",2.8
Stonnington City Council,2021,"18,524","3,411","25,295","47,229",2.1,"7,958","1,222","12,710","1,852","1,088",668,"25,493",2.7
Strathbogie Shire Council,2021,"1,559",112,"3,075","4,734",2.2,744,218,"1,655",254,209,43,"3,119",2.7
Surf Coast Shire Council,2021,"2,828",408,"10,041","13,270",2.6,"4,077",627,"4,337",714,355,82,"10,195",3.0
Swan Hill Rural City Council,2021,"2,150",336,"5,228","7,718",2.5,"1,710",376,"2,346",521,273,103,"5,326",2.9
Towong Shire Council,2021,712,39,"1,655","2,406",2.2,459,111,938,100,60,11,"1,679",2.7
Wangaratta Rural City Council,2021,"3,645",275,"7,927","11,847",2.3,"2,452",552,"3,660",833,458,99,"8,054",2.9
Warrnambool City Council,2021,"4,229",452,"9,310","13,993",2.3,"2,926",727,"3,959","1,055",594,161,"9,426",2.9
Wellington Shire Council,2021,"5,321",415,"11,797","17,538",2.3,"3,550",814,"5,690","1,115",646,163,"11,979",2.8
West Wimmera Shire Council,2021,576,40,"1,021","1,643",2.2,293,66,555,61,49,13,"1,034",2.8
Whitehorse City Council,2021,"15,879","2,992","44,225","63,094",2.6,"18,217","3,410","16,427","3,820","2,573",897,"45,342",3.0
Whittlesea City Council,2021,"13,808","1,985","60,186","75,971",2.9,"26,919","5,965","18,149","6,094","4,241",967,"62,337",3.2
Wodonga City Council,2021,"4,605",437,"11,332","16,372",2.4,"3,864",762,"4,545","1,543",676,163,"11,551",2.9
Wyndham City Council,2021,"13,668","2,977","73,173","89,823",3.1,"39,586","4,696","19,726","7,490","3,417","1,231","76,145",3.3
Yarra City Council,2021,"15,019","4,755","20,876","40,646",2.0,"5,524",736,"11,558","1,630",965,621,"21,026",2.6
Yarra Ranges Shire Council,2021,"11,893","1,147","42,808","55,842",2.7,"16,217","4,362","16,483","3,811","2,660",446,"43,981",3.0
Yarriambiack Shire Council,2021,996,52,"1,688","2,740",2.1,431,106,906,150,98,22,"1,715",2.8
